feature,chi2,p_value,degrees_of_freedom,significant_at_0_05
shipping_mode,24575.07323092022,0.0,3,True
payment_type,27.0705112052796,5.690329793021335e-06,3,True
customer_state,56.18701864832444,0.08559029847640458,43,False
category_name,57.54232958454494,0.18840273851432907,49,False
product_name,124.50071000110373,0.30027667458012064,117,False
market,2.303619937839164,0.6801100641099569,4,False
order_region,17.547380914209377,0.7324614544585727,22,False
order_country,148.51602334341655,0.7325367739495382,160,False
department_name,6.498340329319086,0.7718029965586399,10,False
customer_segment,0.3200789638231526,0.8521101453646462,2,False
customer_country,0.02149158903922828,0.8834476755032412,1,False
