column,dtype,missing_count,missing_rate,unique_count
payment_type,string,0,0.0,4
profit_per_order,float64,0,0.0,152935
sales_per_customer,float64,0,0.0,85233
category_id,int64,0,0.0,51
category_name,string,0,0.0,50
customer_city,string,0,0.0,563
customer_country,string,0,0.0,2
customer_id,float64,0,0.0,148992
customer_segment,string,0,0.0,3
customer_state,string,0,0.0,44
customer_zipcode,float64,0,0.0,82241
department_id,int64,0,0.0,11
department_name,string,0,0.0,11
latitude,float64,0,0.0,124885
longitude,float64,0,0.0,91519
market,string,0,0.0,5
order_city,string,0,0.0,3505
order_country,string,0,0.0,161
order_customer_id,float64,0,0.0,132062
order_date,datetime64[ns],0,0.0,118809
order_id,float64,0,0.0,152595
order_item_cardprod_id,float64,0,0.0,7023
order_item_discount,float64,0,0.0,6929
order_item_discount_rate,float64,0,0.0,2321
order_item_id,float64,0,0.0,132436
order_item_product_price,float64,0,0.0,3597
order_item_profit_ratio,float64,0,0.0,17350
order_item_quantity,float64,0,0.0,16
sales,float64,0,0.0,3718
order_item_total_amount,float64,0,0.0,7802
order_profit_per_order,float64,0,0.0,48617
order_region,string,0,0.0,23
order_state,string,0,0.0,1054
order_status,string,0,0.0,7
product_card_id,int64,0,0.0,118
product_category_id,int64,0,0.0,51
product_name,string,0,0.0,118
product_price,float64,0,0.0,3597
shipping_date,datetime64[ns],0,0.0,118997
shipping_mode,string,0,0.0,4
label,int8,0,0.0,3
delivery_outcome,int8,0,0.0,3
is_delayed,int8,0,0.0,2
