feature,mutual_information
customer_city_frequency,0.0052166779284079645
order_year,0.003790271677249102
order_is_weekend,0.0035001765229900617
order_item_quantity,0.0033288270876101755
product_price,0.0020956180055513585
order_item_product_price,0.0017261909662744657
sales,0.001556067305066522
order_hour,0.0014580706921738518
order_item_discount_rate,0.0014230796870586815
order_profit_per_order,0.0010918658462659714
order_quarter,0.001043484108274928
longitude,0.0003190248230913184
order_city_frequency,9.317773566053233e-05
order_week,0.0
order_weekday,0.0
order_day,0.0
profit_per_order,0.0
order_month,0.0
sales_per_customer,0.0
order_item_total_amount,0.0
order_item_profit_ratio,0.0
order_item_discount,0.0
latitude,0.0
order_state_frequency,0.0
