accuracy,precision,recall,f1,roc_auc,average_precision,balanced_accuracy,specificity,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate,threshold
0.5771984736097414,0.5771984736097414,1.0,0.7319287753160255,0.7394683930132029,0.83441126194855,0.5,0.0,0,9861,0,13462,1.0,0.0,0.2
0.5771984736097414,0.5771984736097414,1.0,0.7319287753160255,0.7394683930132029,0.83441126194855,0.5,0.0,0,9861,0,13462,1.0,0.0,0.21000000000000002
0.5771984736097414,0.5771984736097414,1.0,0.7319287753160255,0.7394683930132029,0.83441126194855,0.5,0.0,0,9861,0,13462,1.0,0.0,0.22000000000000003
0.5772413497405994,0.5772232227081725,1.0,0.7319486733362331,0.7394683930132029,0.83441126194855,0.5000507047966738,0.00010140959334753067,1,9860,0,13462,0.9998985904066525,0.0,0.23000000000000004
0.5772413497405994,0.5772232227081725,1.0,0.7319486733362331,0.7394683930132029,0.83441126194855,0.5000507047966738,0.00010140959334753067,1,9860,0,13462,0.9998985904066525,0.0,0.24000000000000005
0.5772413497405994,0.5772232227081725,1.0,0.7319486733362331,0.7394683930132029,0.83441126194855,0.5000507047966738,0.00010140959334753067,1,9860,0,13462,0.9998985904066525,0.0,0.25000000000000006
0.5772413497405994,0.5772232227081725,1.0,0.7319486733362331,0.7394683930132029,0.83441126194855,0.5000507047966738,0.00010140959334753067,1,9860,0,13462,0.9998985904066525,0.0,0.26000000000000006
0.5772413497405994,0.5772232227081725,1.0,0.7319486733362331,0.7394683930132029,0.83441126194855,0.5000507047966738,0.00010140959334753067,1,9860,0,13462,0.9998985904066525,0.0,0.2700000000000001
0.5772413497405994,0.5772232227081725,1.0,0.7319486733362331,0.7394683930132029,0.83441126194855,0.5000507047966738,0.00010140959334753067,1,9860,0,13462,0.9998985904066525,0.0,0.2800000000000001
0.5772413497405994,0.577229845626072,0.9999257168325657,0.7319340982002066,0.7394683930132029,0.83441126194855,0.5000642680096303,0.00020281918669506134,2,9859,1,13461,0.9997971808133049,7.42831674342594e-05,0.2900000000000001
0.5771555974788835,0.577213452299245,0.9995543009953944,0.7318213955512046,0.7394683930132029,0.83441126194855,0.5000306744810661,0.0005070479667376534,5,9856,6,13456,0.9994929520332624,0.00044569900460555636,0.3000000000000001
