feature,importance
shipping_mode_Standard Class,0.2916157
shipping_mode_First Class,0.14760078
shipping_mode_Same Day,0.05486885
shipping_mode_Second Class,0.049589097
order_region_South Asia,0.0022312605
order_region_West Asia,0.0020936357
customer_country_Puerto Rico,0.0020857907
department_name_Pet Shop,0.0019739533
order_country_Filipinas,0.001897358
customer_state_OH,0.0018428174
product_name_Bridgestone e6 Straight Distance NFL Carolina,0.0018346994
order_region_Northern Europe,0.0018127344
category_name_Girls' Apparel,0.0017759163
order_country_Indonesia,0.0017662825
customer_state_IN,0.0017438207
customer_state_CT,0.0017384592
product_name_Nike Men's Dri-FIT Victory Golf Polo,0.0017350456
product_name_Web Camera,0.0017341989
order_region_Eastern Asia,0.0017200136
order_country_Marfil Coast,0.0017100463
order_country_Iran,0.0016693032
order_country_Democratic Republic of the Congo,0.0016588974
category_name_Children's Clothing,0.0016399672
customer_state_MD,0.0016266714
customer_state_PA,0.0016234273
customer_state_MI,0.0016226453
category_name_Electronics,0.0016096887
order_country_Germany,0.0016090304
order_country_Bolivia,0.001602948
order_country_United Kingdom,0.0015877326
order_region_Caribbean,0.0015842734
category_name_Golf Gloves,0.0015830982
category_name_Baseball & Softball,0.0015718692
order_country_Australia,0.0015714071
customer_state_GA,0.0015648572
order_country_Nigeria,0.0015634375
category_name_Water Sports,0.0015626153
order_country_New Zealand,0.0015568682
order_region_Oceania,0.0015516792
order_region_US Center,0.001546517
product_name_Under Armour Men's Tech II T-Shirt,0.001546147
order_country_Italy,0.0015457027
order_country_Nicaragua,0.0015441307
product_name_Dell Laptop,0.0015414006
order_country_Mexico,0.0015326649
order_country_Argelia,0.0015290971
category_name_Crafts,0.0015267953
order_country_Ecuador,0.0015249422
customer_state_OR,0.0015246541
order_country_Pakistan,0.0015222672
department_name_Fitness,0.0015198295
customer_state_TX,0.0015131
customer_country_EE. UU.,0.0015081211
order_region_West of USA,0.0015076551
customer_state_WA,0.0015059753
order_profit_per_order,0.0015015079
order_country_Somalia,0.0015000518
order_country_Netherlands,0.0014985623
order_region_Central America,0.0014966094
category_name_Men's Footwear,0.0014945505
order_country_Saudi Arabia,0.0014933865
order_country_Norway,0.001490054
order_country_Turkey,0.0014827396
order_country_China,0.0014820206
order_region_Southern Africa,0.0014790586
category_name_Indoor/Outdoor Games,0.0014744358
order_country_Morocco,0.0014742918
order_region_South America,0.0014726227
order_country_India,0.0014697973
product_name_Under Armour Girls' Toddler Spine Surge Runni,0.0014688644
order_country_Honduras,0.0014683459
customer_state_VA,0.0014661225
order_country_Egypt,0.0014655633
order_region_East of USA,0.0014647898
order_country_United States,0.0014647038
customer_state_LA,0.0014631222
order_country_Spain,0.0014627072
order_country_Finland,0.0014599842
order_region_West Africa,0.0014596882
product_name_adidas Men's F10 Messi TRX FG Soccer Cleat,0.0014542727
order_country_Belgium,0.0014507736
order_country_Iraq,0.0014458798
product_name_Summer dresses,0.0014431537
order_country_Dominican Republic,0.0014424573
category_name_Camping & Hiking,0.0014408466
category_name_Women's Clothing,0.0014385262
customer_state_KY,0.0014375721
customer_state_RI,0.0014368559
order_country_Cameroon,0.0014359184
order_country_Brazil,0.0014333442
order_country_Argentina,0.0014301301
customer_state_AR,0.0014295414
order_region_Eastern Europe,0.0014226557
order_region_Southern Europe,0.0014208342
department_name_Footwear,0.0014169671
order_country_Benin,0.0014157781
order_country_Austria,0.0014128436
product_name_Pelican Sunstream 100 Kayak,0.0014119203
customer_state_WI,0.001406198
order_country_France,0.0014060118
product_name_Bridgestone e6 Straight Distance NFL Tennesse,0.0014054924
market_Africa,0.0014050711
product_name_O'Brien Men's Neoprene Life Vest,0.0014046809
product_name_Nike Men's Free 5.0+ Running Shoe,0.0013991941
department_name_Outdoors,0.0013964669
department_name_Discs Shop,0.0013963776
category_name_Cameras,0.0013933298
order_item_total_amount,0.0013917645
order_country_Cuba,0.0013907449
order_region_Western Europe,0.0013883933
order_country_Denmark,0.0013872614
order_country_South Korea,0.0013853799
product_name_Team Golf San Francisco Giants Putter Grip,0.001380175
order_region_Southeast Asia,0.0013796341
customer_state_NY,0.001378577
order_item_discount,0.0013785529
order_country_Venezuela,0.0013769822
product_name_Porcelain crafts,0.0013719023
order_week,0.0013713759
profit_per_order,0.0013665578
category_name_Golf Balls,0.0013663839
order_region_North Africa,0.0013662708
customer_state_NC,0.0013634461
category_name_Lacrosse,0.0013629117
order_country_Ireland,0.0013625026
order_region_Central Asia,0.0013621879
customer_state_AZ,0.0013581221
